scenario,holdout_auroc,holdout_auprc,spearman_vs_reference,mean_abs_prob_delta,median_abs_prob_delta,top_decile_overlap_vs_reference
reference_full_imputer_path,0.6170530243234689,0.12351044981410535,1.0,0.0,0.0,1.0
key_labs_missing_median_impute,0.6265872471151073,0.13074926809225718,0.9191583608760362,0.032680586957122525,0.026775293627170932,0.6874304783092324
key_labs_delayed_2h_median_impute,0.6174200783963822,0.12399476657218866,0.9954384607231193,0.0032037385708260247,5.551115123125783e-17,0.9777530589543938
key_labs_delayed_4h_median_impute,0.6184871137853327,0.12437634837218238,0.9917379806580796,0.005841129089904045,1.1102230246251565e-16,0.9592139414163886
missing_only_Lactate,0.618540591862181,0.12462260431545744,0.9901215342736835,0.007917345654320517,2.220446049250313e-16,0.8731924360400445
missing_only_WBC,0.6145289258246682,0.12343588246842707,0.9830817710899221,0.011644569187978753,0.006909354206824786,0.8806080830552465
missing_only_Creatinine,0.6215535238334915,0.12459160142762829,0.9806366426183852,0.011817998915336997,0.005760597811374696,0.8809788654060067
missing_only_Platelets,0.6146041224193571,0.12312369817336125,0.9926892917101222,0.008584827693418335,0.0046037399221317,0.9262143121987393
missing_only_BUN,0.6191364927024509,0.12481227152641358,0.9860700753737182,0.013042668393502169,0.009525855700660502,0.8405635891731553
missing_only_Glucose,0.6184917688882787,0.12477640921207575,0.9936553897511007,0.00805365317650422,0.005269585777905428,0.914349276974416
