feature,mean_abs_coef_cv
ICULOS,0.28890861596969647
Creatinine,0.23696902698359118
Resp_roll3,0.14296090525799582
Lactate_roll3,0.13891360490553645
MAP_roll3,0.1378983143230067
Creatinine_roll3,0.12010357270947833
pH,0.11979309475999556
Lactate,0.104014312123786
Hct,0.10113046707776645
Hgb,0.09255804996338547
BaseExcess,0.09022808029597737
SaO2,0.08777646897910638
PaCO2,0.08708586421908997
HR,0.08412205998675504
WBC,0.08240847867330059
Potassium,0.0806203370986831
Calcium,0.06678358903811787
FiO2,0.06438245719134636
Unit2,0.0624226148210145
Unit1,0.06242261482101406
PTT,0.06109385039180685
Temp_roll3,0.057852482361368904
Glucose,0.05553436921192316
Gender,0.05034800315919026
BUN,0.047529223358527925
WBC_roll3,0.0363832314652906
Glucose_roll3,0.033749743732787454
HospAdmTime,0.030881707199471996
MAP,0.03064436881510124
Phosphate,0.030089508210793002
Bilirubin_direct,0.029918848068261165
Magnesium,0.027272701149940338
Age,0.025677349031040214
HR_roll3,0.023873286060849187
Temp,0.02348759786448667
Resp,0.023270489580333
Alkalinephos,0.020623840901161893
Platelets,0.02029131833331656
SBP,0.019132058812605747
HCO3,0.01892842258424781
DBP,0.01722446443159357
TroponinI,0.01673145652031098
Chloride,0.016309601560043147
MAP_delta1,0.016026048477861342
O2Sat,0.01373777553945966
Bilirubin_total,0.012193299070408465
HR_delta1,0.011283268195649178
Lactate_delta1,0.009086404608372897
AST,0.00881467926723293
Fibrinogen,0.007950845173387946
